user_id,age,job,marital,education,default,balance,housing_loan,vehicle_loan,contact,day,month,duration,campaign,pdays,previous,poutcome,term_deposit,Products
15,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no,"home loan balance transfer,Insta PL,money multiplier FD,names,loan against property,old car loan,FD Xtra,Insta home loan,business loan,Emaralde,loan against securities,life insurance,Tax saving FD,new car loan,Sapphiro,loan against car,Insta car loan,Fixed deposit,vehicle insurance,Flexi cash,RubyX,gold loan,Travel insurance,Pradhan mantri awas yojana,Manchester United,education loan,recurring deposit"
16,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no,"loan against securities,FD Xtra,Flexi cash,Pradhan mantri awas yojana,gold loan,education loan,new car loan,money multiplier FD,RubyX,recurring deposit,life insurance,names,Tax saving FD,Emaralde,home loan balance transfer,Insta car loan,old car loan,Insta PL,Insta home loan,business loan,loan against property,Sapphiro,Manchester United,vehicle insurance,Travel insurance,Fixed deposit,loan against car"
17,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no,"business loan,vehicle insurance,Insta car loan,Manchester United,gold loan,recurring deposit,Pradhan mantri awas yojana,FD Xtra,new car loan,RubyX,Sapphiro,Emaralde,money multiplier FD,old car loan,Flexi cash,names,life insurance,Insta home loan,Insta PL,home loan balance transfer,loan against securities,Tax saving FD,Travel insurance,loan against car,loan against property,Fixed deposit,education loan"
18,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no,"vehicle insurance,new car loan,RubyX,loan against securities,business loan,education loan,Flexi cash,loan against car,money multiplier FD,Emaralde,life insurance,recurring deposit,Fixed deposit,Insta home loan,Pradhan mantri awas yojana,Insta car loan,gold loan,Tax saving FD,Travel insurance,names,old car loan,Sapphiro,FD Xtra,Insta PL,loan against property,Manchester United,home loan balance transfer"
19,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no,"Pradhan mantri awas yojana,Insta home loan,loan against property,RubyX,recurring deposit,money multiplier FD,Travel insurance,business loan,Emaralde,loan against securities,old car loan,home loan balance transfer,vehicle insurance,names,Manchester United,Sapphiro,education loan,Fixed deposit,life insurance,Insta PL,gold loan,Flexi cash,Insta car loan,FD Xtra,Tax saving FD,new car loan,loan against car"
20,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no,"loan against car,new car loan,life insurance,recurring deposit,Insta home loan,Flexi cash,Insta car loan,money multiplier FD,Manchester United,Sapphiro,loan against property,business loan,Fixed deposit,Emaralde,Travel insurance,education loan,home loan balance transfer,FD Xtra,Tax saving FD,vehicle insurance,names,old car loan,Insta PL,Pradhan mantri awas yojana,loan against securities,gold loan,RubyX"
21,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no,"Pradhan mantri awas yojana,Insta PL,new car loan,FD Xtra,Insta home loan,vehicle insurance,Tax saving FD,loan against property,life insurance,Sapphiro,loan against securities,Insta car loan,loan against car,money multiplier FD,Emaralde,business loan,RubyX,Travel insurance,names,home loan balance transfer,Manchester United,education loan,Flexi cash,recurring deposit,gold loan,old car loan,Fixed deposit"
22,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no,"Pradhan mantri awas yojana,RubyX,education loan,Insta car loan,Manchester United,names,loan against property,Travel insurance,Flexi cash,business loan,Insta PL,recurring deposit,Fixed deposit,gold loan,life insurance,loan against car,home loan balance transfer,old car loan,Tax saving FD,vehicle insurance,loan against securities,Sapphiro,Emaralde,money multiplier FD,Insta home loan,new car loan,FD Xtra"
23,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no,"old car loan,Insta PL,FD Xtra,loan against securities,Manchester United,Sapphiro,gold loan,Flexi cash,recurring deposit,Pradhan mantri awas yojana,Fixed deposit,Travel insurance,Insta home loan,Tax saving FD,education loan,vehicle insurance,new car loan,life insurance,Emaralde,loan against property,names,business loan,home loan balance transfer,loan against car,money multiplier FD,Insta car loan,RubyX"
24,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no,"recurring deposit,RubyX,Fixed deposit,vehicle insurance,money multiplier FD,new car loan,loan against car,loan against property,business loan,Pradhan mantri awas yojana,Manchester United,Insta PL,FD Xtra,life insurance,Insta home loan,education loan,Flexi cash,Sapphiro,loan against securities,names,home loan balance transfer,Insta car loan,gold loan,old car loan,Emaralde,Travel insurance,Tax saving FD"
25,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no,"Insta car loan,Travel insurance,Manchester United,Tax saving FD,Sapphiro,education loan,vehicle insurance,gold loan,recurring deposit,Flexi cash,home loan balance transfer,life insurance,business loan,loan against property,money multiplier FD,Insta PL,loan against car,loan against securities,names,FD Xtra,old car loan,RubyX,new car loan,Emaralde,Fixed deposit,Insta home loan,Pradhan mantri awas yojana"
26,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no,"gold loan,Travel insurance,Insta car loan,Emaralde,vehicle insurance,Pradhan mantri awas yojana,loan against securities,education loan,Insta PL,new car loan,home loan balance transfer,Fixed deposit,old car loan,FD Xtra,Flexi cash,names,Tax saving FD,life insurance,loan against car,money multiplier FD,recurring deposit,RubyX,business loan,Insta home loan,loan against property,Sapphiro,Manchester United"
27,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no,"Manchester United,Sapphiro,business loan,home loan balance transfer,Insta home loan,loan against car,old car loan,money multiplier FD,Travel insurance,new car loan,RubyX,FD Xtra,Tax saving FD,Insta PL,Emaralde,gold loan,Flexi cash,loan against securities,education loan,names,Pradhan mantri awas yojana,recurring deposit,Insta car loan,life insurance,vehicle insurance,loan against property,Fixed deposit"
28,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no,"business loan,names,old car loan,loan against property,Flexi cash,Manchester United,Pradhan mantri awas yojana,RubyX,vehicle insurance,Fixed deposit,new car loan,gold loan,Emaralde,money multiplier FD,Insta PL,Sapphiro,FD Xtra,Tax saving FD,recurring deposit,loan against securities,Insta car loan,Travel insurance,loan against car,home loan balance transfer,Insta home loan,education loan,life insurance"
29,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no,"loan against securities,Manchester United,Pradhan mantri awas yojana,gold loan,Sapphiro,loan against property,vehicle insurance,Insta home loan,Insta PL,loan against car,Emaralde,Flexi cash,Tax saving FD,education loan,money multiplier FD,new car loan,home loan balance transfer,Travel insurance,old car loan,business loan,names,Insta car loan,Fixed deposit,RubyX,FD Xtra,recurring deposit,life insurance"
30,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no,"loan against securities,Insta car loan,education loan,names,gold loan,life insurance,business loan,Travel insurance,money multiplier FD,loan against car,Manchester United,Insta PL,RubyX,Insta home loan,old car loan,home loan balance transfer,Pradhan mantri awas yojana,vehicle insurance,Fixed deposit,Flexi cash,new car loan,Tax saving FD,Sapphiro,Emaralde,FD Xtra,loan against property,recurring deposit"
31,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no,"business loan,life insurance,Emaralde,Sapphiro,home loan balance transfer,Insta PL,loan against car,gold loan,RubyX,Insta home loan,Manchester United,Flexi cash,names,Tax saving FD,Travel insurance,money multiplier FD,Pradhan mantri awas yojana,Fixed deposit,FD Xtra,loan against property,new car loan,Insta car loan,loan against securities,vehicle insurance,old car loan,education loan,recurring deposit"
32,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no,"Fixed deposit,names,Flexi cash,Tax saving FD,education loan,old car loan,life insurance,Insta PL,Insta car loan,money multiplier FD,Emaralde,RubyX,Pradhan mantri awas yojana,new car loan,Sapphiro,Travel insurance,business loan,vehicle insurance,loan against car,home loan balance transfer,loan against property,FD Xtra,loan against securities,gold loan,recurring deposit,Insta home loan,Manchester United"
33,60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no,"education loan,Insta car loan,old car loan,home loan balance transfer,life insurance,Travel insurance,loan against securities,money multiplier FD,Flexi cash,Emaralde,Insta home loan,new car loan,FD Xtra,loan against property,Insta PL,Tax saving FD,business loan,Manchester United,Sapphiro,loan against car,gold loan,vehicle insurance,Pradhan mantri awas yojana,RubyX,names,Fixed deposit,recurring deposit"
34,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no,"home loan balance transfer,loan against securities,RubyX,recurring deposit,names,FD Xtra,gold loan,loan against property,Tax saving FD,new car loan,money multiplier FD,Pradhan mantri awas yojana,education loan,Travel insurance,life insurance,Insta PL,Fixed deposit,loan against car,Manchester United,Insta home loan,Flexi cash,vehicle insurance,old car loan,Insta car loan,Sapphiro,Emaralde,business loan"
35,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no,"gold loan,loan against car,vehicle insurance,Insta home loan,Emaralde,life insurance,Flexi cash,Manchester United,loan against property,Sapphiro,Fixed deposit,recurring deposit,loan against securities,Insta PL,Tax saving FD,old car loan,money multiplier FD,names,RubyX,business loan,Pradhan mantri awas yojana,Insta car loan,Travel insurance,education loan,home loan balance transfer,FD Xtra,new car loan"
36,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no,"loan against securities,Sapphiro,life insurance,gold loan,FD Xtra,home loan balance transfer,RubyX,money multiplier FD,Tax saving FD,Pradhan mantri awas yojana,new car loan,recurring deposit,old car loan,Manchester United,loan against property,Fixed deposit,Insta home loan,education loan,loan against car,business loan,Insta PL,names,vehicle insurance,Emaralde,Insta car loan,Flexi cash,Travel insurance"
37,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no,"business loan,Insta PL,life insurance,Travel insurance,loan against securities,Insta car loan,Manchester United,loan against car,old car loan,Insta home loan,loan against property,recurring deposit,Pradhan mantri awas yojana,RubyX,Tax saving FD,money multiplier FD,FD Xtra,gold loan,Emaralde,Flexi cash,new car loan,vehicle insurance,education loan,names,home loan balance transfer,Sapphiro,Fixed deposit"
38,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no,"loan against securities,money multiplier FD,Insta PL,recurring deposit,gold loan,business loan,home loan balance transfer,Insta home loan,Travel insurance,life insurance,education loan,Flexi cash,Manchester United,Tax saving FD,old car loan,FD Xtra,Emaralde,loan against property,names,Insta car loan,vehicle insurance,loan against car,Fixed deposit,Pradhan mantri awas yojana,Sapphiro,new car loan,RubyX"
39,36,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,577,1,-1,0,unknown,no,"Emaralde,Insta home loan,life insurance,loan against securities,home loan balance transfer,Insta PL,vehicle insurance,loan against property,Tax saving FD,recurring deposit,RubyX,names,old car loan,gold loan,money multiplier FD,Manchester United,FD Xtra,Pradhan mantri awas yojana,Travel insurance,business loan,Sapphiro,Insta car loan,Fixed deposit,Flexi cash,new car loan,education loan,loan against car"
40,37,admin.,single,secondary,no,0,yes,no,unknown,5,may,137,1,-1,0,unknown,no,"life insurance,old car loan,loan against securities,vehicle insurance,Flexi cash,business loan,Tax saving FD,Sapphiro,names,recurring deposit,Emaralde,Fixed deposit,FD Xtra,Insta PL,home loan balance transfer,Pradhan mantri awas yojana,loan against car,Manchester United,loan against property,Insta car loan,RubyX,Travel insurance,new car loan,education loan,money multiplier FD,Insta home loan,gold loan"
41,44,services,divorced,secondary,no,2586,yes,no,unknown,5,may,160,1,-1,0,unknown,no,"FD Xtra,gold loan,Emaralde,vehicle insurance,recurring deposit,Tax saving FD,new car loan,Manchester United,names,money multiplier FD,Insta PL,education loan,loan against property,life insurance,Insta car loan,loan against securities,Sapphiro,loan against car,home loan balance transfer,Pradhan mantri awas yojana,business loan,Fixed deposit,Flexi cash,RubyX,old car loan,Insta home loan,Travel insurance"
42,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,-1,0,unknown,no,"loan against securities,vehicle insurance,Fixed deposit,Tax saving FD,Insta car loan,names,Flexi cash,Manchester United,recurring deposit,Sapphiro,FD Xtra,business loan,new car loan,Pradhan mantri awas yojana,money multiplier FD,loan against car,Emaralde,Insta PL,education loan,Travel insurance,Insta home loan,home loan balance transfer,gold loan,old car loan,life insurance,RubyX,loan against property"
43,60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,"vehicle insurance,life insurance,loan against car,loan against property,Sapphiro,Fixed deposit,Emaralde,Pradhan mantri awas yojana,business loan,RubyX,Tax saving FD,gold loan,home loan balance transfer,names,FD Xtra,Insta PL,Travel insurance,recurring deposit,loan against securities,money multiplier FD,Insta home loan,Insta car loan,old car loan,Flexi cash,new car loan,education loan,Manchester United"
44,54,retired,married,secondary,no,529,yes,no,unknown,5,may,1492,1,-1,0,unknown,no,"Emaralde,loan against securities,loan against car,gold loan,Flexi cash,Tax saving FD,Pradhan mantri awas yojana,vehicle insurance,business loan,Insta home loan,RubyX,home loan balance transfer,Sapphiro,Insta car loan,money multiplier FD,Travel insurance,new car loan,Fixed deposit,recurring deposit,FD Xtra,loan against property,education loan,Manchester United,names,old car loan,life insurance,Insta PL"
45,58,retired,married,unknown,no,96,yes,no,unknown,5,may,616,1,-1,0,unknown,no,"Emaralde,Insta PL,Fixed deposit,Tax saving FD,life insurance,Manchester United,new car loan,loan against property,vehicle insurance,home loan balance transfer,old car loan,Insta car loan,Pradhan mantri awas yojana,FD Xtra,loan against car,Flexi cash,Sapphiro,education loan,Insta home loan,names,business loan,gold loan,loan against securities,money multiplier FD,Travel insurance,recurring deposit,RubyX"
46,36,admin.,single,primary,no,-171,yes,no,unknown,5,may,242,1,-1,0,unknown,no,"gold loan,Emaralde,Travel insurance,business loan,Pradhan mantri awas yojana,Fixed deposit,home loan balance transfer,vehicle insurance,new car loan,Flexi cash,loan against car,Tax saving FD,loan against property,names,Insta car loan,life insurance,Insta PL,old car loan,education loan,loan against securities,FD Xtra,RubyX,money multiplier FD,recurring deposit,Insta home loan,Manchester United,Sapphiro"
47,58,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,355,1,-1,0,unknown,no,"old car loan,RubyX,Manchester United,Sapphiro,education loan,Insta home loan,Insta PL,money multiplier FD,loan against property,names,FD Xtra,Emaralde,Travel insurance,gold loan,vehicle insurance,recurring deposit,loan against securities,Flexi cash,Insta car loan,home loan balance transfer,new car loan,Tax saving FD,loan against car,Fixed deposit,Pradhan mantri awas yojana,life insurance,business loan"
48,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,-1,0,unknown,no,"loan against securities,Travel insurance,home loan balance transfer,Tax saving FD,Pradhan mantri awas yojana,Insta PL,Insta car loan,recurring deposit,Fixed deposit,Emaralde,money multiplier FD,names,loan against property,Flexi cash,education loan,RubyX,Sapphiro,Manchester United,Insta home loan,business loan,vehicle insurance,old car loan,new car loan,gold loan,life insurance,loan against car,FD Xtra"
49,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,-1,0,unknown,no,"recurring deposit,home loan balance transfer,old car loan,loan against securities,Emaralde,Insta home loan,Insta PL,Fixed deposit,education loan,Tax saving FD,names,Pradhan mantri awas yojana,money multiplier FD,Flexi cash,RubyX,loan against property,vehicle insurance,loan against car,Insta car loan,FD Xtra,new car loan,gold loan,Travel insurance,Sapphiro,business loan,life insurance,Manchester United"
50,29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,-1,0,unknown,no,"loan against securities,names,Manchester United,education loan,Tax saving FD,Travel insurance,recurring deposit,Insta PL,Insta home loan,new car loan,Fixed deposit,Emaralde,Flexi cash,Pradhan mantri awas yojana,RubyX,vehicle insurance,home loan balance transfer,old car loan,loan against property,business loan,FD Xtra,gold loan,life insurance,Sapphiro,Insta car loan,loan against car,money multiplier FD"
51,54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,-1,0,unknown,no,"Flexi cash,Travel insurance,Sapphiro,Manchester United,education loan,Insta PL,gold loan,loan against car,FD Xtra,vehicle insurance,money multiplier FD,Insta car loan,business loan,Insta home loan,RubyX,life insurance,loan against securities,Fixed deposit,Tax saving FD,names,home loan balance transfer,recurring deposit,Emaralde,Pradhan mantri awas yojana,loan against property,old car loan,new car loan"
52,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,-1,0,unknown,no,"Insta PL,Fixed deposit,Emaralde,loan against securities,names,new car loan,loan against car,life insurance,RubyX,business loan,loan against property,money multiplier FD,education loan,old car loan,recurring deposit,Tax saving FD,Pradhan mantri awas yojana,Insta home loan,Flexi cash,gold loan,Insta car loan,vehicle insurance,Manchester United,home loan balance transfer,FD Xtra,Sapphiro,Travel insurance"
53,32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,-1,0,unknown,no,"Fixed deposit,names,education loan,gold loan,recurring deposit,vehicle insurance,Insta home loan,loan against car,Flexi cash,Travel insurance,Insta PL,FD Xtra,loan against property,home loan balance transfer,Sapphiro,new car loan,Pradhan mantri awas yojana,loan against securities,life insurance,Manchester United,old car loan,Tax saving FD,Emaralde,business loan,money multiplier FD,Insta car loan,RubyX"
54,42,admin.,single,secondary,no,-76,yes,no,unknown,5,may,787,1,-1,0,unknown,no,"names,loan against securities,Manchester United,gold loan,Insta home loan,loan against car,business loan,FD Xtra,Tax saving FD,Insta PL,Emaralde,loan against property,education loan,home loan balance transfer,Fixed deposit,Insta car loan,old car loan,Travel insurance,new car loan,RubyX,Flexi cash,Pradhan mantri awas yojana,vehicle insurance,money multiplier FD,recurring deposit,life insurance,Sapphiro"
55,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,-1,0,unknown,no,"new car loan,business loan,life insurance,Flexi cash,names,Sapphiro,Emaralde,education loan,RubyX,loan against property,FD Xtra,home loan balance transfer,Pradhan mantri awas yojana,Travel insurance,money multiplier FD,Manchester United,loan against securities,Tax saving FD,Insta PL,Insta car loan,Fixed deposit,gold loan,loan against car,Insta home loan,vehicle insurance,recurring deposit,old car loan"
56,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,-1,0,unknown,no,"Pradhan mantri awas yojana,Travel insurance,Emaralde,recurring deposit,gold loan,education loan,Insta PL,Manchester United,money multiplier FD,loan against property,FD Xtra,names,Insta car loan,Insta home loan,business loan,loan against car,old car loan,Flexi cash,vehicle insurance,home loan balance transfer,new car loan,life insurance,Fixed deposit,Tax saving FD,loan against securities,Sapphiro,RubyX"
57,38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,-1,0,unknown,no,"Tax saving FD,old car loan,new car loan,loan against securities,recurring deposit,Insta PL,gold loan,education loan,Fixed deposit,vehicle insurance,Pradhan mantri awas yojana,money multiplier FD,loan against property,Manchester United,names,home loan balance transfer,RubyX,FD Xtra,Travel insurance,Insta car loan,Sapphiro,Insta home loan,business loan,life insurance,Flexi cash,Emaralde,loan against car"
58,47,blue-collar,married,unknown,no,306,yes,no,unknown,5,may,13,1,-1,0,unknown,no,"Sapphiro,new car loan,money multiplier FD,business loan,FD Xtra,life insurance,loan against property,vehicle insurance,Flexi cash,gold loan,RubyX,Manchester United,Travel insurance,Insta PL,education loan,Emaralde,loan against car,old car loan,Fixed deposit,loan against securities,Pradhan mantri awas yojana,home loan balance transfer,Insta home loan,Insta car loan,recurring deposit,names,Tax saving FD"
59,40,blue-collar,single,unknown,no,24,yes,no,unknown,5,may,185,1,-1,0,unknown,no,"names,Sapphiro,loan against car,loan against securities,new car loan,home loan balance transfer,RubyX,gold loan,Insta car loan,money multiplier FD,business loan,education loan,Insta home loan,life insurance,Tax saving FD,Flexi cash,recurring deposit,Manchester United,FD Xtra,loan against property,old car loan,Emaralde,Insta PL,Fixed deposit,Travel insurance,Pradhan mantri awas yojana,vehicle insurance"
60,46,services,married,primary,no,179,yes,no,unknown,5,may,1778,1,-1,0,unknown,no,"RubyX,Flexi cash,Insta car loan,Manchester United,education loan,FD Xtra,loan against property,Tax saving FD,new car loan,Travel insurance,business loan,loan against car,home loan balance transfer,recurring deposit,Emaralde,Pradhan mantri awas yojana,money multiplier FD,Sapphiro,life insurance,names,loan against securities,gold loan,Insta home loan,vehicle insurance,Fixed deposit,old car loan,Insta PL"
61,32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no,"Insta home loan,Insta PL,loan against securities,home loan balance transfer,money multiplier FD,gold loan,education loan,business loan,Sapphiro,FD Xtra,old car loan,Pradhan mantri awas yojana,vehicle insurance,RubyX,Manchester United,recurring deposit,loan against property,Flexi cash,Travel insurance,new car loan,Fixed deposit,life insurance,Insta car loan,loan against car,Emaralde,Tax saving FD,names"
62,53,technician,divorced,secondary,no,989,yes,no,unknown,5,may,812,1,-1,0,unknown,no,"Insta PL,life insurance,Sapphiro,loan against property,Manchester United,Fixed deposit,RubyX,names,FD Xtra,Insta car loan,old car loan,new car loan,Pradhan mantri awas yojana,gold loan,money multiplier FD,Emaralde,home loan balance transfer,loan against car,Tax saving FD,Travel insurance,vehicle insurance,education loan,Flexi cash,Insta home loan,recurring deposit,loan against securities,business loan"
